Words                  Count    
ha--                     14     
treasure                 14     
flamingoes               14     
within                   14     
second                   14     
limestone                14     
black                    14     
trace                    14     
public                   14     
hump                     14     
e--                      14     
parched                  14     
position                 14     
soft                     14     
last                     14     
o                        14     
thumb                    14     
forked                   14     
store                    13     
curvy                    13     
understand               13     
elephants                13     
thought                  13     
ri--                     13     
picture                  13     
making                   13     
else                     13     
bed                      13     
looks                    13     
beginning                13     
j--                      13     
those                    13     
points                   13     
thirty                   13     
fact                     13     
iron                     13     
better                   13     
instead                  12     
lines                    12     
might                    12     
place                    12     
hmm                      12     
skim                     12     
most                     12     
dot                      12     
pad                      12     
join                     12     
ninety                   12     
passing                  12     
whe--                    12     
coastline                12     
lower                    12     
many                     12     
hill                     12     
told                     12     
without                  12     
shallow                  12     
h                        11     
hundred                  11     
to--                     11     
semicircle               11     
nowhere                  11     
birds                    11     
canal                    11     
gallows                  11     
street                   11     
cobbled                  11     
guy                      11     
lot                      11     
trunk                    11     
try                      11     
climbing                 10     
followed                 10     
coconut                  10     
li--                     10     
st--                     10     
somewhere                10     
kay                      10     
us                       10     
in--                     10     
immediately              10     
presume                  10     
run                      10     
p                        10     
drew                     10     
missed                   10     
obviously                10     
backwards                10     
high                     10     
beech                    10     
facing                   10     
written                  10     
turns                    10     
leave                    10     
forget                   10     
except                   10     
also                     10     
wood                     9      
privately                9      
fairly                   9      
wagon                    9      
nose                     9      
gradient                 9      
do--                     9      
pointing                 9      
ca--                     9      
owned                    9      
veer                     9      
forward                  9      
getting                  9      
chimney                  9      
palm                     9      
blacksmith               9      
finger                   9      
dear                     9      
meet                     9      
tube                     9      
nearer                   9      
midpoint                 9      
actual                   9      
swamp                    9      
completely               9      
stuff                    8      
buried                   8      
furnishing               8      
furnishings              8      
bulge                    8      
whole                    8      
looking                  8      
face                     8      
pen                      8      
touching                 8      
presumably               8      
extreme                  8      
height                   8      
dow--                    8      
inside                   8      
higher                   8      
steep                    8      
bel--                    8      
finishes                 8      
southwesterly            8      
even                     8      
standing                 8      
wall                     8      
an--                     8      
itself                   8      
onto                     8      
underline                8      
always                   8      
fifteen                  8      
turned                   8      
maps                     8      
either                   8      
submerged                8      
antelope                 8      
sharp                    8      
jus--                    8      
gap                      8      
cu--                     8      
travel                   8      
we--                     8      
moved                    7      
rou--                    7      
assume                   7      
touch                    7      
twenty                   7      
gurgling                 7      
circling                 7      
bot--                    7      
cutting                  7      
passed                   7      
outline                  7      
eight                    7      
surely                   7      
kneecaps                 7      
stick                    7      
made                     7      
idea                     7      
y                        7      
shit                     7      
waterhole                7      
di--                     7      
ju--                     7      
both                     7      
bits                     7      
area                     7      
skirting                 7      
midway                   7      
neil                     7      
brook                    7      
slant                    7      
man                      7      
circuit                  7      
windows                  7      
saying                   7      
miles                    7      
fae                      7      
thr--                    6      
yo--                     6      
massive                  6      
traveling                6      
absolutely               6      
aiming                   6      
direct                   6      
sandstone                6      
marks                    6      
length                   6      
behind                   6      
change                   6      
clockwise                6      
score                    6      
anticlockwise            6      
ready                    6      
outward                  6      
backward                 6      
virtually                6      
sou--                    6      
apex                     6      
mid                      6      
doesnae                  6      
called                   6      
wo                       6      
inverted                 6      
things                   6      
proceed                  6      
pretend                  6      
leaves                   6      
frame                    6      
you--                    6      
be--                     6      
whitewashed              6      
shall                    6      
wa--                     6      
buffalos                 6      
mi--                     6      
gradual                  6      
hi--                     6      
q                        6      
exact                    6      
form                     6      
call                     6      
has                      6      
abo--                    6      
avoided                  6      
short                    6      
the--                    6      
case                     6      
jutting                  6      
clear                    6      
takes                    5      
sound                    5      
mountains                5      
jumped                   5      
scrub                    5      
taken                    5      
seagull                  5      
tha--                    5      
ye--                     5      
nice                     5      
gets                     5      
viewpoints               5      
ha                       5      
gentle                   5      
crossed                  5      
describe                 5      
write                    5      
cen--                    5      
f                        5      
och                      5      
certainly                5      
hope                     5      
give                     5      
explain                  5      
arch                     5      
ac--                     5      
ends                     5      
tiny                     5      
square                   5      
his                      5      
v                        5      
wha--                    5      
ought                    5      
otherwise                5      
dave                     5      
si--                     5      
he--                     5      
meadows                  5      
cannae                   5      
hell                     5      
sub                      5      
g                        5      
co--                     5      
dent                     5      
bo--                     5      
branches                 5      
he                       5      
climb                    5      
equal                    5      
furthest                 5      
jump                     5      
use                      5      
sounds                   5      
sea                      5      
least                    5      
groove                   5      
gradually                5      
imaginary                4      
while                    4      
juts                     4      
cur--                    4      
may                      4      
peaks                    4      
und--                    4      
jutty                    4      
huge                     4      
thirteen                 4      
western                  4      
goi--                    4      
makes                    4      
southeasterly            4      
totally                  4      
complete                 4      
eye                      4      
outer                    4      
indeed                   4      
westerly                 4      
undernea--               4      
lef--                    4      
w                        4      
acro--                   4      
forming                  4      
direct--                 4      
toward                   4      
headland                 4      
their                    4      
gatepost                 4      
ho                       4      
bad                      4      
bricks                   4      
stiles                   4      
divides                  4      
thick                    4      
everything               4      
name                     4      
rightee                  4      
northwards               4      
vapour                   4      
found                    4      
centi--                  4      
it--                     4      
bu--                     4      
ve--                     4      
bi--                     4      
already                  4      
tracing                  4      
myself                   4      
bring                    4      
houses                   4      
total                    4      
la--                     4      
bet--                    4      
mouth                    4      
oval                     4      
ma--                     4      
alongside                4      
rather                   4      
allowed                  4      
find                     4      
yourself                 4      
safe                     4      
cup                      4      
bloop                    4      
cliff                    4      
practically              4      
eventually               4      
contour                  4      
working                  4      
realise                  4      
'bout                    4      
str--                    4      
k--                      4      
doubling                 4      
fo--                     4      
fr--                     4      
shed                     4      
zed                      4      
intersect                3      
minus                    3      
whether                  3      
slight--                 3      
mistake                  3      
cleared                  3      
totty                    3      
poison                   3      
havenae                  3      
bef--                    3      
shaped                   3      
plus                     3      
manage                   3      
dips                     3      
cro--                    3      
worry                    3      
ss--                     3      
being                    3      
l                        3      
dropping                 3      
ignore                   3      
dip                      3      
sign                     3      
easy                     3      
moon                     3      
connect                  3      
pretty                   3      
lynn                     3      
eastern                  3      
branch                   3      
doke                     3      
oops                     3      
com--                    3      
sticking                 3      
difficult                3      
dodge                    3      
easier                   3      
jutted                   3      
towar--                  3      
initial                  3      
streams                  3      
telling                  3      
northerly                3      
such                     3      
bypassing                3      
meets                    3      
took                     3      
double                   3      
incline                  3      
forgot                   3      
problem                  3      
forwards                 3      
guess                    3      
dr--                     3      
me--                     3      
knew                     3      
size                     3      
sto--                    3      
ea--                     3      
so--                     3      
nine                     3      
inland                   3      
ther--                   3      
sense                    3      
unless                   3      
ti--                     3      
besi--                   3      
woodlands                3      
centime--                3      
large                    3      
private                  3      
closely                  3      
object                   3      
heck                     3      
pebbles                  3      
corn                     3      
abou--                   3      
summit                   3      
none                     3      
earlier                  3      
reverse                  3      
computer                 3      
northeastwards           3      
fa--                     3      
ken                      3      
controlled               3      
reached                  3      
nae                      3      
drops                    3      
excellent                3      
letters                  3      
ending                   3      
tilled                   3      
similar                  3      
marking                  3      
tr--                     3      
al--                     3      
sheet                    3      
stopping                 3      
aha                      3      
means                    3      
somehow                  3      
squiggly                 3      
lump                     3      
dimple                   3      
lo--                     3      
blank                    3      
u"-turn                  3      
fair                     3      
circular                 3      
hopefully                3      
forks                    3      
millimetres              3      
eighty                   3      
hands                    3      
woodland                 3      
aba--                    3      
m                        3      
bunch                    3      
wigwams                  3      
assuming                 3      
best                     3      
clock                    3      
division                 3      
southwards               3      
dotted                   3      
width                    3      
dir--                    3      
fourteen                 3      
ahead                    3      
splits                   3      
whoa                     3      
empty                    3      
please                   3      
pointy                   3      
nearest                  3      
explaining               2      
bang                     2      
underne--                2      
bearing                  2      
affect                   2      
respect                  2      
didnae                   2      
directions               2      
closer                   2      
ge--                     2      
traced                   2      
compass                  2      
smaller                  2      
sixty                    2      
doon                     2      
guys                     2      
watch                    2      
ini--                    2      
twice                    2      
sides                    2      
any--                    2      
wi--                     2      
diagram                  2      
sarah                    2      
bes--                    2      
neither                  2      
carpenters               2      
slopes                   2      
joined                   2      
wher--                   2      
gently                   2      
progressing              2      
alo--                    2      
shou--                   2      
sticks                   2      
beaches                  2      
blip                     2      
springbok                2      
viewer                   2      
danielle                 2      
stuck                    2      
farmland                 2      
wouldnae                 2      
flatter                  2      
apart                    2      
nor--                    2      
apaches                  2      
forms                    2      
bypass                   2      
each                     2      
peninsula                2      
since                    2      
tippex                   2      
worked                   2      
wasnae                   2      
sor--                    2      
caves                    2      
sti--                    2      
kidding                  2      
boathouses               2      
uu                       2      
wording                  2      
cool                     2      
mar--                    2      
wow                      2      
accurate                 2      
moun--                   2      
continuing               2      
da--                     2      
crocodile                2      
brilliant                2      
ne--                     2      
fini--                   2      
home                     2      
chicane                  2      
outwith                  2      
meaning                  2      
ya--                     2      
aim                      2      
cr--                     2      
fif--                    2      
staying                  2      
includes                 2      
pardon                   2      
huts                     2      
pi--                     2      
fault                    2      
paul                     2      
christ                   2      
joins                    2      
fi--                     2      
underlining              2      
pick                     2      
sitting                  2      
midline                  2      
ano--                    2      
type                     2      
ssh                      2      
giraffe                  2      
hide--                   2      
final                    2      
c"-shaped                2      
relay                    2      
ch--                     2      
mines                    2      
gr--                     2      
reverses                 2      
sloped                   2      
difference               2      
ci--                     2      
steeper                  2      
hard                     2      
terms                    2      
handlebar                2      
ver--                    2      
exponential              2      
touches                  2      
reaches                  2      
sweep                    2      
upside                   2      
stage                    2      
s"-shaped                2      
fraction                 2      
stupid                   2      
tick                     2      
group                    2      
thi--                    2      
caravans                 2      
seen                     2      
together                 2      
wanted                   2      
county                   2      
back--                   2      
approach                 2      
bumps                    2      
sharply                  2      
handed                   2      
tight                    2      
plant                    2      
no--                     2      
yup                      2      
index                    2      
quick                    2      
dire--                   2      
northern                 2      
hitting                  2      
rising                   2      
soon                     2      
interesting              2      
contours                 2      
possible                 2      
read                     2      
ins--                    2      
stretches                2      
portion                  2      
avoi--                   2      
well--                   2      
description              2      
disaster                 2      
perfect                  2      
become                   2      
which'll                 2      
terri--                  2      
leaving                  2      
sta--                    2      
chris                    2      
marker                   2      
southern                 2      
dis--                    2      
bringing                 2      
count                    2      
pillar                   2      
bank                     2      
leftmost                 2      
entire                   2      
wish                     2      
seems                    2      
full                     2      
for--                    2      
towa--                   2      
falling                  2      
teepee                   2      
direc--                  2      
sounded                  2      
kara                     2      
cloud                    2      
scribbling               2      
runs                     2      
bet                      2      
lovely                   2      
funny                    2      
u"-shaped                2      
re--                     2      
smiley                   2      
ho--                     2      
fancy                    2      
dropped                  2      
jesus                    2      
skimming                 2      
telescope                2      
awful                    2      
camel                    2      
melanie                  2      
star--                   2      
ah--                     2      
number                   2      
pir--                    2      
circled                  2      
skipping                 2      
dipping                  2      
movement                 2      
phil                     2      
slowly                   2      
picking                  2      
under--                  2      
steeply                  2      
botto--                  2      
saw                      2      
according                2      
judging                  1      
super                    1      
tuba                     1      
yay                      1      
wri--                    1      
laun--                   1      
afterwards               1      
gurl--                   1      
late                     1      
keen                     1      
prr                      1      
useless                  1      
against                  1      
monster                  1      
changes                  1      
who                      1      
poplar                   1      
drive                    1      
horizon--                1      
lying                    1      
inhabits                 1      
divide                   1      
remember                 1      
na                       1      
wigwam                   1      
feet                     1      
tu                       1      
es                       1      
beak                     1      
cra--                    1      
bucket                   1      
invisible                1      
oke--                    1      
fini                     1      
throw                    1      
closeish                 1      
thingmy                  1      
cn                       1      
reckon                   1      
effectively              1      
basing                   1      
eyo                      1      
woo--                    1      
dark                     1      
hopeless                 1      
pig                      1      
ear                      1      
tu--                     1      
scream                   1      
pose                     1      
continued                1      
contact                  1      
su--                     1      
helps                    1      
natural                  1      
ugh                      1      
approaching              1      
gaz--                    1      
woods                    1      
7                        1      
initially                1      
bloody                   1      
retrace                  1      
z--                      1      
paralle--                1      
heh                      1      
zee                      1      
hat                      1      
darting                  1      
phone                    1      
talk--                   1      
convex                   1      
shi--                    1      
8                        1      
audrey                   1      
bevelled                 1      
wanna                    1      
stramash                 1      
sp--                     1      
canoe                    1      
sand                     1      
indifference             1      
squint                   1      
banged                   1      
thanks                   1      
perpen--                 1      
happens                  1      
realised                 1      
circ--                   1      
mixed                    1      
nah                      1      
snap                     1      
rav--                    1      
reversed                 1      
rabbit                   1      
ears                     1      
tote--                   1      
care                     1      
tho--                    1      
enclosed                 1      
thursday                 1      
night                    1      
how--                    1      
mou--                    1      
straightening            1      
sic--                    1      
leftward                 1      
normal                   1      
prob--                   1      
exist                    1      
div--                    1      
bigger                   1      
posts                    1      
post                     1      
murdered                 1      
aff--                    1      
handled                  1      
aro--                    1      
david                    1      
easiest                  1      
shorter                  1      
tire                     1      
mental                   1      
4                        1      
jumping                  1      
dut--                    1      
necessarily              1      
mapped                   1      
disease                  1      
via                      1      
nn                       1      
slants                   1      
farther                  1      
ro--                     1      
slanting                 1      
carpent--                1      
crag                     1      
easter                   1      
swiveled                 1      
basin                    1      
rubbing                  1      
inlets                   1      
connects                 1      
list--                   1      
bridges                  1      
india                    1      
rest                     1      
para--                   1      
misses                   1      
brok--                   1      
comple--                 1      
fiel--                   1      
eat                      1      
works                    1      
saggy                    1      
flattens                 1      
fffffff                  1      
prf                      1      
problems                 1      
interes--                1      
having                   1      
lime                     1      
knobbly                  1      
ar--                     1      
hawe--                   1      
wonder                   1      
upper                    1      
eas--                    1      
u"-shape                 1      
stretched                1      
headstones               1      
ridge                    1      
pup                      1      
angled                   1      
prrr                     1      
leaf                     1      
ph                       1      
whenever                 1      
ch                       1      
stock--                  1      
seo                      1      
fffsss                   1      
farmyard                 1      
splurges                 1      
this'll                  1      
stu--                    1      
fall--                   1      
coup--                   1      
nightmare                1      
loo--                    1      
printing                 1      
ef--                     1      
reache--                 1      
graveya--                1      
2                        1      
eastward                 1      
ffffphhhhh               1      
cul--                    1      
bowl                     1      
unti--                   1      
dinai                    1      
ago                      1      
alon--                   1      
rubbish                  1      
easterly                 1      
dykes                    1      
heads                    1      
cot--                    1      
ground                   1      
soiled                   1      
northwesterly            1      
ridiculous               1      
northeasterly            1      
hchchch                  1      
ts                       1      
tips                     1      
dwrlr                    1      
aloalo                   1      
thank                    1      
net                      1      
smashing                 1      
shade                    1      
overdid                  1      
complicated              1      
init--                   1      
known                    1      
sm--                     1      
em                       1      
tons                     1      
hu--                     1      
ba--                     1      
creva--                  1      
greg                     1      
craft                    1      
crevice                  1      
attract--                1      
crevi--                  1      
terribly                 1      
tiled                    1      
looked                   1      
dilec                    1      
rectly                   1      
blacksmiths              1      
sl--                     1      
mentioned                1      
pee                      1      
sli--                    1      
jeez                     1      
callum                   1      
cone                     1      
garbage                  1      
laugh                    1      
however                  1      
sight                    1      
ta--                     1      
axis                     1      
whereas                  1      
times                    1      
positive                 1      
mainly                   1      
waterfalls               1      
basic                    1      
able                     1      
foot                     1      
foo--                    1      
currently                1      
glancing                 1      
eaten                    1      
southw--                 1      
--neath                  1      
turned--                 1      
pr--                     1      
castle                   1      
skirt--                  1      
foot--                   1      
matt--                   1      
cairns                   1      
indications              1      
ledge                    1      
dea--                    1      
amongst                  1      
directl--                1      
murgey                   1      
divided                  1      
han--                    1      
quickly                  1      
cuts                     1      
interest                 1      
monkeys                  1      
example                  1      
angie                    1      
righ--                   1      
joining                  1      
gira--                   1      
aban--                   1      
briefly                  1      
brick                    1      
awa--                    1      
hazards                  1      
lands                    1      
extra                    1      
straightens              1      
coughing                 1      
hook                     1      
fish                     1      
originally               1      
particularly             1      
useful                   1      
added                    1      
beh--                    1      
waterf--                 1      
coo                      1      
righthand                1      
laura                    1      
sideways                 1      
school                   1      
logical                  1      
separate                 1      
6                        1      
messed                   1      
ce--                     1      
ou--                     1      
arse                     1      
up--                     1      
pay--                    1      
pos--                    1      
tremendous               1      
excuse                   1      
holiday                  1      
sss--                    1      
trap                     1      
whi--                    1      
sidestep                 1      
stitches                 1      
psychologists'll         1      
vicinity                 1      
knackered                1      
perhaps                  1      
bananas                  1      
stores                   1      
putting                  1      
reasonable               1      
quar--                   1      
highland                 1      
apparently               1      
minutes                  1      
dry                      1      
seeing                   1      
bird                     1      
possibly                 1      
dilect                   1      
tremendously             1      
nasty                    1      
tells                    1      
instructions             1      
avoids                   1      
southerly                1      
live                     1      
steam                    1      
sod                      1      
lar--                    1      
check                    1      
thinking                 1      
vicious                  1      
deviation                1      
chuffed                  1      
jaggedy                  1      
play                     1      
acr--                    1      
groups                   1      
cactuses                 1      
carrying                 1      
odd                      1      
martin                   1      
skimmed                  1      
moves                    1      
labs                     1      
lowest                   1      
phoar                    1      
yee                      1      
kill                     1      
allow                    1      
gappy                    1      
rap--                    1      
wine                     1      
betwee--                 1      
tom                      1      
sweeping                 1      
outlaw                   1      
out--                    1      
ide--                    1      
san--                    1      
ut                       1      
remind                   1      
undern--                 1      
treas--                  1      
amount                   1      
bro--                    1      
checking                 1      
list                     1      
deal                     1      
skrai                    1      
pad--                    1      
philip                   1      
sets                     1      
set                      1      
travelling               1      
becau--                  1      
bas--                    1      
deviates                 1      
thin                     1      
indicates                1      
fencing                  1      
ke--                     1      
kenneth                  1      
fixed                    1      
finally                  1      
om                       1      
rectangle                1      
slap                     1      
cornfu--                 1      
fs--                     1      
coastlines               1      
ross                     1      
agai--                   1      
balloons                 1      
tad                      1      
as--                     1      
per--                    1      
trial                    1      
exactl--                 1      
duck                     1      
although                 1      
remain                   1      
paral--                  1      
sticky                   1      
circles                  1      
particular               1      
perform                  1      
horizont--               1      
widest                   1      
swimming                 1      
oo                       1      
overestimating           1      
lots                     1      
jubbely                  1      
perimeter                1      
deliberately             1      
stayed                   1      
wet                      1      
wat--                    1      
hurrah                   1      
edges                    1      
raise                    1      
linking                  1      
turret                   1      
downward                 1      
outwards                 1      
ex--                     1      
happened                 1      
swans                    1      
wealthy                  1      
track                    1      
inverse                  1      
china                    1      
kathmandu                1      
wants                    1      
finito                   1      
fssss                    1      
shel--                   1      
tau--                    1      
basi--                   1      
fe--                     1      
giving                   1      
mention                  1      
continuous               1      
attempt                  1      
may--                    1      
asking                   1      
noth--                   1      
se--                     1      
exac--                   1      
asked                    1      
rounded                  1      
apply                    1      
rises                    1      
monu--                   1      
course'll                1      
been--                   1      
relationship             1      
tri--                    1      
drastic                  1      
som--                    1      
immediat--               1      
curvature                1      
ove--                    1      
reaching                 1      
northbound               1      
roundabout               1      
slow                     1      
bath                     1      
nor                      1      
unlucky                  1      
thirsty                  1      
linked                   1      
cover                    1      
yous                     1      
pas--                    1      
virtual                  1      
lies                     1      
emerging                 1      
fu--                     1      
fore--                   1      
betw--                   1      
shows                    1      
woode--                  1      
eh--                     1      
abouts                   1      
plain                    1      
our                      1      
people                   1      
carries                  1      
folli--                  1      
mo--                     1      
dra--                    1      
kn--                     1      
meeting                  1      
lar                      1      
babbling                 1      
till                     1      
crosses                  1      
oop--                    1      
steadily                 1      
ass--                    1      
what--                   1      
bidge--                  1      
gor--                    1      
gazelle                  1      
reason                   1      
loops                    1      
verti--                  1      
wagon--                  1      
detour                   1      
